config_id,rank_by_tuning,tune_mean,tune_std,test_mean,test_std,alpha,gamma,eps_start,eps_decay,eps_min
0,1,0.9960000000000001,0.008000000000000007,0.9793333333333334,0.07127100080366175,0.28192505648551947,0.8580193318015311,0.6101799363863056,0.003948250482460486,0.05221741626040728
2,2,0.9960000000000001,0.008000000000000007,0.9840000000000001,0.05851495535331117,0.16165944536718838,0.8864997255592506,0.9121207980487056,0.00440038916764415,0.18795209253633033
7,3,0.9960000000000001,0.008000000000000007,0.9986666666666667,0.004988876515698592,0.0747047936489137,0.9687594894243362,0.9326108564218683,0.006035975497840125,0.13649010016727128
11,4,0.9960000000000001,0.008000000000000007,0.9339999999999999,0.17283132432133552,0.12202138268960826,0.9744302497489769,0.808245625705095,0.00533718658102832,0.20464530671633996
15,5,0.9960000000000001,0.008000000000000007,0.9913333333333334,0.032530327730015615,0.14912186527244575,0.9409115794169581,0.8719395536598282,0.009764363870386358,0.08267251185337222
19,6,0.9960000000000001,0.008000000000000007,,,0.12085405580570867,0.8725792741998767,0.9366364743940259,0.0038725925640403862,0.017270718786958524
25,7,0.9960000000000001,0.008000000000000007,,,0.04829715935520816,0.9188445294854172,0.7609667667071882,0.0054558448365922335,0.053229027266573546
27,8,0.9960000000000001,0.008000000000000007,,,0.3241872370527979,0.8551161903905385,0.9908085170958163,0.002063675288609396,0.07359085159630983
22,9,0.9800000000000001,0.025298221281347056,,,0.34084670803602996,0.8936840111701378,0.6218725522852037,0.004668933909615707,0.09895627964021562
5,10,0.976,0.03199999999999999,,,0.03150365481692618,0.9201988511046787,0.8641216640916308,0.05924928196468574,0.16012816137651137
21,11,0.968,0.03709447398198281,,,0.24573578082247677,0.9887308230921522,0.6309005110452166,0.025316574019399386,0.04577263656528702
30,12,0.944,0.10229369482035539,0.9793333333333333,0.07220033856491871,0.1,0.99,1.0,0.01,0.05
26,13,0.932,0.13599999999999998,,,0.15692674570623566,0.9482861139128955,0.6143772267111336,0.0044766083939628025,0.23917577415112368
4,14,0.9199999999999999,0.12198360545581523,,,0.06416708869383275,0.8747196949928709,0.7488944842488969,0.0171628666573475,0.05424111698283514
9,15,0.916,0.10307278981380102,,,0.08376873041432127,0.8521566970417199,0.5162759608032947,0.012496147534669972,0.12239500826237827
28,16,0.9120000000000001,0.16618062462272792,0.884,0.2052250796889438,0.6098131877958771,0.8619777697420806,0.927357852110164,0.003410451404422322,0.05301785865500015
10,17,0.8800000000000001,0.22054478003344355,,,0.04562508248052844,0.8883768132315191,0.5015905546466558,0.008156867138110233,0.14820954016887197
1,18,0.876,0.24799999999999997,,,0.43166081747735013,0.9875784047060314,0.6382871988985531,0.04114584459944326,0.22357424634668463
23,19,0.8719999999999999,0.18956792977716458,,,0.08823289647229873,0.9412836091009045,0.772357700095818,0.03176897638165075,0.08078902850224964
29,20,0.844,0.12986146464598342,,,0.3944946271584644,0.9834181844352021,0.7303671630361488,0.0023050649297812528,0.08567326245100912
20,21,0.836,0.31809432563313667,,,0.18818881511906072,0.9138921317494508,0.9292987107796771,0.0036198577783806193,0.09648488785403377
24,22,0.836,0.31809432563313667,,,0.7028147007655069,0.9309789310314157,0.8397120742047588,0.02533159881457611,0.0465514702598404
12,23,0.8240000000000001,0.3420877080516048,,,0.1546584818750978,0.9630627378295763,0.7830445431633595,0.010042357954435427,0.10507706666018161
14,24,0.792,0.39630291444802673,,,0.14778512069362987,0.9273481564529449,0.704295489996058,0.016915913666862965,0.02688416158617407
3,25,0.76,0.34985711369071804,,,0.23735385496091846,0.9881836815202498,0.6159540943032094,0.03813084172611414,0.1343596088446514
16,26,0.704,0.25531157435572716,,,0.030585829135741677,0.9627153665517476,0.5387879850992883,0.012190463740170973,0.0830466632277895
18,27,0.6839999999999999,0.38082016753318093,,,0.43168576852142865,0.969027696110808,0.8276425885055395,0.004649718387635703,0.04304187153814442
13,28,0.6719999999999999,0.26820887382784336,,,0.03227216341917368,0.9199332674370264,0.8117792010790528,0.06557834538313534,0.11447825923971683
6,29,0.6679999999999999,0.24053274205396655,,,0.6094097059052052,0.9788388474129724,0.609071436624994,0.048822284804561675,0.1853804647291009
17,30,0.58,0.22018174311236613,,,0.4743592430619878,0.9916209034752625,0.6594372893671916,0.05486667635393612,0.09100697214648212
8,31,0.36800000000000005,0.2902688409044278,0.5046666666666666,0.3099971326032262,0.03793666990850172,0.9369025231125077,0.6189531998148088,0.03361612484041251,0.05167159268209662
