algorithm,metric,estimate,ci_lower,ci_upper
DQN,IQM,184.46221923828125,151.44309997558594,237.49085998535156
DQN,Mean,190.17233276367188,157.22644004821777,228.2428741455078
DQN,Median,190.17233276367188,157.22644004821777,228.2428741455078
RND-DQN,IQM,185.34449768066406,155.7615509033203,204.7269287109375
RND-DQN,Mean,181.4204864501953,160.51776123046875,201.6941680908203
RND-DQN,Median,181.4204864501953,160.51776123046875,201.6941680908203
