seed,step,eval_return
7,5000,43.0
7,6000,51.2
7,7000,55.0
7,8000,58.4
7,9000,132.8
7,10000,154.0
7,11000,188.0
7,12000,127.4
7,13000,165.8
7,14000,271.8
7,15000,258.4
7,16000,221.2
7,17000,182.0
7,18000,137.8
7,19000,161.8
7,20000,212.0
7,21000,157.8
7,22000,129.2
7,23000,259.2
7,24000,268.6
7,25000,109.0
7,26000,90.6
7,27000,117.8
7,28000,260.2
7,29000,433.2
7,30000,337.8
7,31000,229.4
7,32000,122.6
7,33000,117.0
7,34000,158.8
7,35000,192.8
7,36000,333.4
7,37000,248.8
7,38000,276.0
7,39000,180.6
7,40000,284.2
7,41000,293.2
7,42000,298.0
7,43000,180.0
7,44000,260.0
7,45000,311.8
7,46000,282.2
7,47000,311.2
7,48000,351.6
7,49000,421.2
7,50000,363.2
8,1000,40.2
8,2000,52.0
8,3000,58.4
8,4000,59.2
8,5000,115.2
8,6000,176.0
8,7000,183.8
8,8000,76.4
8,9000,168.0
8,10000,251.0
8,11000,153.0
8,12000,275.8
8,13000,226.4
8,14000,139.6
8,15000,201.4
8,16000,101.6
8,17000,261.4
8,18000,280.0
8,19000,238.2
8,20000,389.4
8,21000,293.0
8,22000,322.6
8,23000,284.6
8,24000,328.2
8,25000,277.8
8,26000,352.0
8,27000,355.8
8,28000,393.0
8,29000,455.2
8,30000,423.0
8,31000,434.0
8,32000,421.0
8,33000,432.6
8,34000,451.0
8,35000,348.6
8,36000,380.2
8,37000,281.0
8,38000,443.4
8,39000,360.0
8,40000,319.6
8,41000,282.2
8,42000,451.0
8,43000,415.8
8,44000,488.6
8,45000,500.0
8,46000,303.4
8,47000,482.2
8,48000,500.0
8,49000,500.0
8,50000,414.0
9,1000,21.6
9,2000,35.6
9,3000,38.4
9,4000,25.2
9,5000,67.8
9,6000,88.4
9,7000,93.8
9,8000,166.0
9,9000,181.4
9,10000,113.8
9,11000,200.2
9,12000,153.0
9,13000,258.2
9,14000,245.6
9,15000,170.4
9,16000,133.6
9,17000,213.0
9,18000,233.8
9,19000,219.6
9,20000,229.0
9,21000,153.4
9,22000,285.4
9,23000,300.6
9,24000,343.2
9,25000,251.0
9,26000,253.2
9,27000,326.0
9,28000,235.6
9,29000,341.0
9,30000,369.6
9,31000,371.6
9,32000,428.4
9,33000,430.6
9,34000,324.6
9,35000,246.4
9,36000,441.0
9,37000,500.0
9,38000,420.4
9,39000,500.0
9,40000,500.0
9,41000,500.0
9,42000,416.0
9,43000,356.0
9,44000,401.2
9,45000,428.4
9,46000,309.0
9,47000,474.6
9,48000,462.2
9,49000,500.0
9,50000,481.6
10,1000,30.2
10,2000,36.0
10,3000,41.6
10,4000,50.6
10,5000,46.6
10,6000,42.8
10,7000,69.4
10,8000,64.6
10,9000,186.2
10,10000,172.2
10,11000,85.4
10,12000,171.8
10,13000,96.0
10,14000,154.8
10,15000,114.6
10,16000,131.2
10,17000,224.2
10,18000,289.6
10,19000,239.4
10,20000,221.4
10,21000,312.4
10,22000,390.6
10,23000,417.4
10,24000,370.8
10,25000,469.2
10,26000,273.0
10,27000,106.8
10,28000,162.0
10,29000,245.8
10,30000,373.6
10,31000,389.6
10,32000,232.0
10,33000,139.0
10,34000,152.4
10,35000,206.2
10,36000,136.8
10,37000,285.4
10,38000,325.6
10,39000,231.2
10,40000,361.0
10,41000,203.4
10,42000,431.4
10,43000,336.0
10,44000,406.2
10,45000,404.2
10,46000,452.0
10,47000,415.4
10,48000,417.8
10,49000,417.8
10,50000,319.2
11,1000,18.8
11,2000,15.4
11,3000,41.2
11,4000,39.4
11,5000,83.4
11,6000,107.6
11,7000,57.0
11,8000,110.6
11,9000,128.2
11,10000,265.6
11,11000,107.8
11,12000,107.0
11,13000,207.4
11,14000,251.0
11,15000,180.6
11,16000,115.0
11,17000,114.2
11,18000,163.2
11,19000,156.4
11,20000,248.4
11,21000,404.4
11,22000,281.2
11,23000,399.0
11,24000,393.8
11,25000,346.2
11,26000,335.6
11,27000,155.2
11,28000,103.4
11,29000,241.6
11,30000,397.0
11,31000,483.4
11,32000,454.2
11,33000,419.8
11,34000,266.4
11,35000,425.4
11,36000,295.8
11,37000,297.8
11,38000,139.4
11,39000,320.6
11,40000,182.0
11,41000,284.6
11,42000,375.6
11,43000,493.0
11,44000,466.0
11,45000,500.0
11,46000,338.8
11,47000,345.0
11,48000,493.4
11,49000,454.0
11,50000,379.0
12,1000,21.2
12,2000,27.4
12,3000,69.8
12,4000,76.0
12,5000,65.2
12,6000,98.2
12,7000,126.2
12,8000,202.8
12,9000,193.0
12,10000,167.0
12,11000,200.4
12,12000,146.2
12,13000,156.6
12,14000,279.4
12,15000,193.0
12,16000,204.6
12,17000,242.0
12,18000,172.0
12,19000,120.6
12,20000,119.8
12,21000,100.0
12,22000,88.2
12,23000,224.0
12,24000,228.4
12,25000,228.0
12,26000,278.8
12,27000,236.4
12,28000,321.8
12,29000,409.4
12,30000,357.8
12,31000,389.0
12,32000,498.6
12,33000,334.2
12,34000,425.8
12,35000,320.8
12,36000,259.8
12,37000,465.4
12,38000,446.4
12,39000,395.8
12,40000,346.6
12,41000,438.8
12,42000,482.2
12,43000,426.4
12,44000,467.2
12,45000,338.6
12,46000,467.4
12,47000,309.6
12,48000,183.6
12,49000,166.6
12,50000,210.2
13,1000,21.6
13,2000,33.8
13,3000,29.8
13,4000,33.8
13,5000,43.4
13,6000,56.8
13,7000,123.6
13,8000,97.2
13,9000,104.2
13,10000,92.4
13,11000,117.8
13,12000,123.8
13,13000,81.2
13,14000,72.2
13,15000,186.4
13,16000,174.0
13,17000,172.0
13,18000,182.2
13,19000,172.6
13,20000,195.0
13,21000,237.0
13,22000,253.4
13,23000,287.2
13,24000,294.6
13,25000,245.0
13,26000,356.0
13,27000,168.0
13,28000,190.2
13,29000,330.2
13,30000,212.6
13,31000,262.2
13,32000,330.2
13,33000,305.6
13,34000,320.2
13,35000,268.8
13,36000,386.6
13,37000,369.0
13,38000,421.0
13,39000,348.8
13,40000,219.2
13,41000,386.2
13,42000,212.0
13,43000,393.0
13,44000,479.8
13,45000,457.8
13,46000,470.4
13,47000,426.6
13,48000,427.6
13,49000,428.2
13,50000,486.4
14,1000,23.0
14,2000,27.8
14,3000,28.0
14,4000,60.8
14,5000,84.4
14,6000,103.8
14,7000,132.6
14,8000,83.8
14,9000,126.4
14,10000,104.2
14,11000,128.6
14,12000,144.0
14,13000,210.4
14,14000,210.8
14,15000,288.0
14,16000,122.4
14,17000,293.0
14,18000,318.2
14,19000,231.0
14,20000,446.0
14,21000,256.6
14,22000,364.2
14,23000,303.4
14,24000,242.6
14,25000,138.2
14,26000,84.8
14,27000,145.6
14,28000,222.6
14,29000,176.6
14,30000,159.0
14,31000,173.2
14,32000,116.8
14,33000,145.0
14,34000,189.8
14,35000,282.2
14,36000,304.8
14,37000,420.0
14,38000,439.8
14,39000,213.4
14,40000,169.0
14,41000,197.8
14,42000,238.8
14,43000,347.6
14,44000,384.4
14,45000,439.8
14,46000,325.6
14,47000,420.8
14,48000,444.6
14,49000,485.8
14,50000,458.4
15,1000,20.2
15,2000,24.6
15,3000,45.8
15,4000,37.4
15,5000,99.0
15,6000,144.6
15,7000,71.8
15,8000,147.0
15,9000,161.0
15,10000,163.4
15,11000,175.0
15,12000,201.2
15,13000,256.2
15,14000,382.6
15,15000,318.4
15,16000,278.4
15,17000,231.4
15,18000,224.0
15,19000,302.6
15,20000,249.6
15,21000,268.6
15,22000,258.2
15,23000,374.6
15,24000,469.2
15,25000,408.0
15,26000,313.0
15,27000,367.8
15,28000,261.4
15,29000,454.4
15,30000,337.4
15,31000,342.4
15,32000,349.2
15,33000,317.4
15,34000,303.2
15,35000,472.6
15,36000,365.2
15,37000,276.2
15,38000,225.4
15,39000,316.6
15,40000,462.8
15,41000,427.8
15,42000,442.0
15,43000,234.8
15,44000,438.2
15,45000,366.6
15,46000,453.0
15,47000,476.6
15,48000,500.0
15,49000,442.8
15,50000,422.2
16,1000,37.2
16,2000,47.0
16,3000,41.0
16,4000,42.4
16,5000,91.0
16,6000,118.2
16,7000,144.0
16,8000,135.0
16,9000,91.2
16,10000,171.4
16,11000,211.6
16,12000,260.0
16,13000,265.2
16,14000,238.0
16,15000,140.0
16,16000,181.4
16,17000,135.0
16,18000,186.0
16,19000,94.6
16,20000,144.8
16,21000,135.4
16,22000,120.6
16,23000,191.4
16,24000,173.0
16,25000,377.2
16,26000,212.6
16,27000,344.8
16,28000,361.6
16,29000,327.2
16,30000,350.4
16,31000,360.2
16,32000,411.4
16,33000,466.0
16,34000,500.0
16,35000,387.6
16,36000,463.6
16,37000,500.0
16,38000,344.8
16,39000,446.0
16,40000,413.4
16,41000,388.0
16,42000,426.2
16,43000,368.0
16,44000,432.8
16,45000,384.0
16,46000,303.2
16,47000,446.2
16,48000,446.0
16,49000,382.2
16,50000,458.2
17,1000,44.2
17,2000,74.6
17,3000,82.8
17,4000,99.6
17,5000,120.4
17,6000,186.4
17,7000,144.4
17,8000,95.6
17,9000,80.0
17,10000,151.0
17,11000,148.0
17,12000,133.6
17,13000,150.0
17,14000,140.6
17,15000,138.0
17,16000,119.8
17,17000,271.2
17,18000,195.2
17,19000,348.6
17,20000,328.2
17,21000,340.8
17,22000,404.8
17,23000,377.8
17,24000,424.2
17,25000,171.2
17,26000,241.8
17,27000,198.8
17,28000,230.0
17,29000,285.6
17,30000,262.4
17,31000,298.4
17,32000,217.4
17,33000,263.4
17,34000,283.0
17,35000,477.2
17,36000,454.4
17,37000,435.0
17,38000,281.6
17,39000,256.2
17,40000,338.4
17,41000,472.8
17,42000,415.2
17,43000,489.6
17,44000,316.2
17,45000,214.4
17,46000,391.4
17,47000,500.0
17,48000,453.4
17,49000,438.2
17,50000,427.6
18,1000,34.2
18,2000,48.0
18,3000,41.6
18,4000,26.8
18,5000,82.8
18,6000,92.6
18,7000,151.4
18,8000,127.4
18,9000,189.6
18,10000,131.8
18,11000,86.0
18,12000,194.6
18,13000,255.4
18,14000,221.4
18,15000,225.4
18,16000,295.2
18,17000,157.0
18,18000,288.0
18,19000,202.8
18,20000,230.4
18,21000,197.2
18,22000,235.6
18,23000,360.0
18,24000,347.4
18,25000,189.6
18,26000,277.4
18,27000,257.6
18,28000,382.2
18,29000,500.0
18,30000,149.6
18,31000,302.8
18,32000,476.2
18,33000,350.6
18,34000,347.8
18,35000,349.4
18,36000,383.8
18,37000,367.0
18,38000,207.0
18,39000,232.6
18,40000,179.2
18,41000,257.0
18,42000,389.6
18,43000,339.4
18,44000,350.2
18,45000,398.4
18,46000,475.8
18,47000,435.2
18,48000,391.2
18,49000,313.2
18,50000,243.0
19,1000,30.6
19,2000,21.0
19,3000,43.0
19,4000,47.4
19,5000,78.4
19,6000,87.8
19,7000,89.8
19,8000,98.8
19,9000,137.0
19,10000,130.0
19,11000,227.2
19,12000,119.6
19,13000,215.0
19,14000,167.4
19,15000,205.0
19,16000,163.2
19,17000,176.0
19,18000,164.0
19,19000,185.4
19,20000,95.8
19,21000,96.2
19,22000,129.6
19,23000,218.4
19,24000,148.6
19,25000,200.0
19,26000,273.6
19,27000,242.0
19,28000,212.0
19,29000,193.0
19,30000,295.0
19,31000,209.6
19,32000,254.4
19,33000,418.0
19,34000,341.2
19,35000,280.6
19,36000,434.2
19,37000,453.8
19,38000,399.4
19,39000,479.8
19,40000,378.4
19,41000,497.2
19,42000,474.8
19,43000,417.2
19,44000,424.8
19,45000,446.2
19,46000,453.4
19,47000,221.8
19,48000,346.0
19,49000,124.6
19,50000,205.0
20,1000,25.4
20,2000,49.8
20,3000,59.6
20,4000,52.0
20,5000,97.6
20,6000,148.8
20,7000,149.6
20,8000,257.0
20,9000,145.6
20,10000,137.8
20,11000,214.8
20,12000,135.8
20,13000,243.0
20,14000,235.8
20,15000,300.4
20,16000,282.2
20,17000,283.4
20,18000,162.8
20,19000,298.0
20,20000,244.6
20,21000,396.6
20,22000,386.4
20,23000,349.8
20,24000,326.0
20,25000,214.0
20,26000,352.8
20,27000,366.2
